sentence,labels,lang
"Nach Tiimari , Verbraucher werden empfohlen, die Kaninchen Fliege, die den Formadehyde enthält, abzuschneiden und zu entsorgen .",0,de
"Der Deal umfasst Stockmann Auto Oy Abs Vertriebs- und After-Sales-Dienstleistungen für Volkswagen und Audi in Helsinki , Espoo und Vantaa .",0,de
"Asahi könnte im Begriff sein, mehr von SABMiller Biere vor AB InBev Verkauf zu schnappen",1,de
"Zuvor wurde erwartet , dass die Anlage bis Ende 2008 fertiggestellt sein wird .",0,de
"M-real , das Teil des finnischen Papierherstellers Metsaliitto Group ist , wird am 5 . August 2010 seinen Bericht über das zweite Quartal um 12:00 Uhr EET veröffentlichen .",0,de
Die Messung der Kapitalbasis und der Kapitaladäquanz basiert auf Ansätzen im Rahmen von Basel II .,0,de
"Die Dividende wird am 15 . April 2008 an jeden der Aktionäre ausgezahlt , die am 8 . April 2008 in die von der finnischen Central Securities Depository Ltd geführte Aktionärsliste eingetragen wurden .",0,de
"Die Lieferungen von Nokia 1112 , Nokia 2310 und Nokia 2610 werden voraussichtlich im zweiten Quartal 2006 beginnen .",0,de
"$TSLA Sie müssen diese Arten von Artikeln lieben. SS Interesse stieg am 12/15 am Tag, bevor wir unsere Tiefs. http://stks.co/c1QKr",2,de
"`` Lining Steinverkäufe waren auch gut im frühen Herbst , und Auftragsbücher sind stark bis zum Ende des Jahres .",1,de
"Sollten Sie Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC kaufen?",1,de
Kurzfristige Lizenzen für die Spiele kosten so wenig wie $ 3 beim Kauf eines Spiels direkt kann so viel wie $ 10 oder $ 15 kosten.,0,de
"`` Unsere umfangreiche Zusammenarbeit wird auch die Position von SysOpen Digia auf dem heimischen Markt stärken , ergänzt Kallioranta .",1,de
"Nach Angaben des Vorstandsvorsitzenden der Nordea Bank Estland arbeiten Vahur Kraft , Nordea Finland und Stockmann seit mehr als zehn Jahren zusammen .",1,de
"Es wird erwartet , dass das Volumen in den nächsten Jahren steigen wird .",1,de
"Vielleicht war es eine schlechte Idee, all die $AAPL-Anrufe zu schließen, die ich heute Morgen hatte.",1,de
"Incap schätzt , dass sie aus ihren indischen Operationen für 2007 einen Umsatz von 10 Mio . Euro ( 13,2 Mio . $ ) erzielen wird .",0,de
"Darüber hinaus wird das Unternehmen die Lösungen nutzen , um die Erstellung von Abschlüssen nach IFRS-Standard zu automatisieren .",0,de
"- Der Cashflow aus betrieblicher Tätigkeit vor Investitionen betrug EUR 7,6 Mio . EUR 2,5 Mio .",0,de
`` Lemminkainen Talo Oy 's Lahti Büro ist ein bedeutender Logistik-und Geschäftsräume Bauherr .,0,de
$NUGT längerfristig bullisch,1,de
"Die Verbraucher haben erneut damit begonnen , Bauvorhaben zu planen und umzusetzen .",0,de
"Gegründet 1649 , Fiskars hat über 360 Jahre der Produktqualität Exzellenz und ist Finnlands ältestes Unternehmen .",0,de
"Biohit sagte, dass es die Zahl der geleasten Personal um 10 reduzieren wird , und entlassen 10 von seinem eigenen Personal .",2,de
"Scanfil , ein Systemlieferant und Vertragshersteller für den Kommunikationssektor , wird in Oulu , Finnland , Personalverhandlungen aufnehmen , um das Personal vorübergehend zu entlassen .",0,de
"Der OMX Nordic 40 OMXN40 Index , bestehend aus den 40 am meisten gehandelten nordischen Aktien an der Nasdaq OMX Börse , schloss am Donnerstag 0,87 % mit 1.064,14 Punkten ab .",0,de
Ohne Sondereinflüsse stieg der Gewinn vor Steuern um 45 % auf 80 Mio EUR .,1,de
Auch für diese Märkte ist eine sechsjährige historische Analyse vorgesehen .,0,de
Dieser Betrag wird nicht in das rentenfähige Gehalt einbezogen .,0,de
$AAPL AUG 645 Anrufe +550% .67c: http://stks.co/i9T3,1,de
"Im ersten Quartal 2009 belief sich der Betriebsverlust des Unternehmens auf 0,3 Mio EUR , verglichen mit einem Gewinn von 3,6 Mio EUR im ersten Quartal 2008 .",2,de
Die finnische Ingenieursparte Rautaruukki Ruukki Engineering wird ihre Tätigkeit im Werk Mo i Rana in Norwegen neu organisieren.,0,de
"Um niedrige Betriebskosten für Funknetze zu gewährleisten , können die BTS-Module aus der Ferne konfiguriert , Software aktualisiert und diagnostiziert werden .",1,de
"Im ersten Quartal 2009 belief sich das Ergebnis des Unternehmens vor Steuern aus fortgeführten Aktivitäten ohne Sondereinflüsse auf -0,4 Mio . EUR im Vergleich zu -0,1 Mio . EUR im entsprechenden Zeitraum 2008 .",0,de
"CEO des Unternehmens Tarmo Noop sagte, das Wachstum im Verkauf von Premium-Bier war die größte .",1,de
"Der finnische Faser- und Kunststoffhersteller Suominen Corporation OMX Helsinki : Die SUY1V meldete am Mittwoch , den 22. Oktober , einen Betriebsverlust von 0,8 Mio. EUR auf den Nettoumsatz von 55 ,2 Mio. EUR für das dritte Quartal 2008 .",0,de
Die Lieferungen haben begonnen und das Netzwerk wird bald für einen Start bereit sein.,1,de
"ALEXANDRIA, Va., 19. November -- Erkki Aho, Elimaki, Finnland, hat eine Methode und ein Gerät in Verbindung mit einer Schuhpresse entwickelt.",0,de
Der Umsatz verbesserte sich auf 1.553 Mio SEK gegenüber 1.408 Mio SEK.,1,de
Der Nettoumsatz ging gegenüber dem vorangegangenen Berichtszeitraum um 5 % zurück .,2,de
"Im vergangenen Jahr hat UPM die Produktion gekürzt , in Finnland geschlossen und 700 Arbeitsplätze abgebaut .",0,de
Japans Asahi wird nächste Woche ein Angebot für SABMillers Grolsch und Peroni - Yomiuri abgeben,1,de
"Das Betriebsergebnis wies einen Verlust von 2,9 Mio EUR auf , während es ein Jahr zuvor einen Gewinn von 0,6 Mio EUR erzielte .",0,de
"Der operative Verlust vor Sondereinflüssen betrug 0,9 Mio EUR , gegenüber einem Ergebnis von 11,5 Mio EUR im Jahr 2008 .",2,de
Was möchten Sie auf Nokia's nächsten Versuch geändert sehen ?,0,de
Das Unternehmen wird seine Ergebnisse 2010 am 11. Februar 2011 veröffentlichen.,0,de
Die orangefarbene Schere von Fiskars ist Teil der permanenten Designsammlung des Museum of Modern Art in New York sowie des Philadelphia Museum of Art.,0,de
"Und US-Energiemanager sagen, hohe Stahlpreise bedrohen die Energieexploration .",0,de
"Derzeit baut YIT ein Wohngebiet Zapadnye Vorota 26.000 Quadratmeter in der Stadt und ein Haus 9.910 Quadratmeter , die Ende 2009 abgeschlossen werden .",0,de
"Fiskars , die Welt 's 1 Scheren Marke TM , vor kurzem gewonnen Learning -« Magazine 's 2011 Teachers ' Choice Award für den Klassenraum .",1,de
Chief Executive Officer Olli-Pekka Kallasvuo 's Änderungen am Dienstag markieren das dritte Mal in neun Monaten hat das Unternehmen neu gemischt Führungskräfte und Operationen als Nokia verliert Boden zu Apples iPhone und RIM BlackBerry .,0,de
"Nokias US-Aktien waren 3,3 Prozent niedriger bei $ 12.73 bis 1750 GMT .",2,de
"Das Betriebsergebnis ging im Zwölfmonatszeitraum von 157,5 Mio EUR zurück , während sich der Nettoumsatz gegenüber 2007 von 634,3 Mio EUR erhöhte .",2,de
Insgesamt wurden im Rahmen des Aktienoptionssystems 2003 1.800.000 Aktienoptionen ausgegeben .,0,de
"Zu diesem Zeitpunkt werden maximal 60.000 Tulikivi Series A-Aktien erworben , was etwa 0,16 Prozent der ausstehenden Aktien des Unternehmens entspricht .",0,de
"Diese Akquisition unterstützt unsere Strategie, nah an unseren Kunden auf der ganzen Welt zu sein und sowohl Ausrüstung als auch damit verbundene Dienstleistungen anzubieten.",1,de
Barclays Anleihen steigen als Lender schneidet Dividenden an Shore Up Capital,1,de
$INVE : SIEHE YA ABOVE $8,1,de
Der Konzernumsatz belief sich 2009 auf 70 Mio. EUR und beschäftigt derzeit rund 780 Mitarbeiter .,0,de
"Estnische Telekommunikationsunternehmen Elisa's Kundenzahlen kreuzen 400.000 TALLINN , 22. Okt , BNS - Das estnische Telekommunikationsunternehmen Elisa gewann etwa 50.000 neue Kunden in den neun Monaten dieses Jahres , wodurch die Zahl auf 401.800 bis Ende September , sagte das Unternehmen .",1,de
Die Bauarbeiten werden voraussichtlich im Sommer 2011 abgeschlossen sein.,0,de
Poyry ist ein globaler Experte für Beratung und Engineering .,0,de
"Vaisala Oyj Veröffentlichung der Börse 26.03.2010 klo 09.00 1 ( 1 ) Die Generalversammlung von Vaisala Oyj hat am 25 . März 2010 beschlossen , den Jahresabschluss 2009 des Unternehmens zu genehmigen .",0,de
"Der Nettoumsatz stieg von 179 ,9 Mio. EUR auf 193 ,3 Mio. EUR und der Gewinn vor Steuern stieg um 34,2 % auf 43 ,1 Mio. EUR ( 1 EUR = 1 ,4 USD )",1,de
"Das Betriebsergebnis sank im vierten Quartal von 4,2 Mio EUR im entsprechenden Zeitraum 2009 auf 3 Mio EUR , da es die Kosten für Wachstumsprojekte einschloss .",0,de
COMPTEL CORPORATION Sami Ervio President und CEO Vertrieb: NASDAQ OMX Helsinki Wichtige Medien Mit Comptel Dynamic OSS-Lösungen können Telekom-Dienstleister flexible Dienste anbieten und effektiv aufladen.,0,de
`` Unser Vaalipalvelu-Service wurde speziell für die Nutzung durch Gemeinschaften und Organisationen entwickelt.,0,de
"Die Ankündigung kommt zwei Wochen vor Ablauf einer Schlüssellizenzvereinbarung zwischen den beiden Unternehmen, die in einer Meinungsverschiedenheit über Lizenzgebühren Zahlungen für Texas Instrument Chips, die Qualcomm-patentierte Technologie verwenden eingeklemmt sind .",2,de
"Laut einer von der World Intellectual Property Organization: `` Die vorliegende Erfindung bezieht sich auf Kohlenwasserstoffe und insbesondere auf die Herstellung von Kohlenwasserstoff-Komponenten, die als Flugkraftstoffe oder Düsenkraftstoffe geeignet sind, und als Mischvorräte für Flugkraftstoffe .",0,de
Die Aufträge bestehen aus insgesamt über 1.600 Panels von lift-away Wetterdeck Luke Abdeckungen und sie werden für Container-Schiffe mit Kapazitäten von 2.000 bis 13.300 TEU geliefert werden.,0,de
Das Unternehmen unterstützt seine globalen Kunden bei der Entwicklung neuer Technologien und bietet einen schnellen Weg von der Produktentwicklung zu Anwendungen und Volumenproduktion.,0,de
"Um 10.33 Uhr war Huhtamaki der größte Faller des Marktes , 8.69 pct niedriger bei 11.35 eur , während die OMX Helsinki 25 0,32 pct höher bei 3.332,41 , und die OMX Helsinki war um 0,47 pct höher bei 11.687.32 .",0,de
Imperial Tobacco fügt vierteljährliche Dividenden nach Gewinn Rose,1,de
"$NFLX +1% $104,80 LANG-Streaming-Dienste schnell übertreffen traditionelle Kabel",1,de
"Der Käufer ist Immobilienbesitzer Propertos Oy , aber die Unternehmen haben vereinbart, keine finanziellen Details des Deals offenzulegen .",0,de
Der Broker gab jedoch eine ``übertreffende '' Empfehlung auf den Bestand .,1,de
Airbus hat 100 feste Aufträge für die A350 und 89 unverbindliche Verpflichtungen .,1,de
"TomTom mit Sitz in Den Bosch ist Europas größter Hersteller von Kfz-Navigationsgeräten, während Garmin mit Sitz in Cayman Islands in den USA und insgesamt größer ist.",0,de
Auch die Baukosten sind in Russland gestiegen.,0,de
Doppelboden mit Griff Kaufpunkt von 56.49 $WMT http://chart.ly/ml857v3,1,de
"Aspo Plc STOCK EXCHANGE RELEASE Februar 11 , 2011 um8.45 Uhr ESL Shipping Ltd , Teil der Aspo Gruppe , hat einen neuen langfristigen Vertrag mit Rautaruukki Corporation für die Beförderung von Rohstoffen auf dem Seeweg auf der Ostsee unterzeichnet .",1,de
UPDATE 1-Lloyds zur Reduzierung von 945 Arbeitsplätzen im Rahmen des 3-Jahres-Umstrukturierungsplans,2,de
"`` Nach einer langen, unrentablen Periode hat die Food Division ein profitables Ergebnis erzielt , das von einer gesünderen Kostenstruktur und einem neuen Ansatz im Geschäftsbetrieb spricht , """" sagte Rihko .",1,de
"Aspocomp Group mit Hauptsitz in Helsinki , Finnland , entwickelt Verbundlösungen für die Elektronikindustrie .",0,de
"Das Ministerium für wirtschaftliche Entwicklung und Handel sowie Industrie und Energie , zusammen mit der regionalen Kostroma-Administration und der Russischen Holz- und Holzexporteurunion , führt seit 2003 Arbeiten zum Erwerb von Investitionen für den Bau einer Zellstoff- und Papierfabrik in Neja durch .",0,de
$RIMM $spx $nya $compq $djia alle gehen nach unten,2,de
"9 . September 2010 - Finnischer Schreibwaren- und Geschenkhändler Tiimari HEL : TII1V sagte heute , dass sein Nettoumsatz im August 2010 um 2 % gegenüber dem Vorjahr auf 5 ,7 Mio EUR gestiegen sei , was auf das Wachstum in Finnland zurückzuführen sei , während die Nachfrage in den baltischen Staaten schwach blieb .",1,de
"M2 Communications lehnt jegliche Haftung für Informationen ab , die im Rahmen von Informationen im weltweiten Internet bereitgestellt werden .",0,de
"In einer Note an Kunden veröffentlicht , der niederländische Broker beschrieb das Unternehmen die Ergebnisse des dritten Quartals als ""weich "" , obwohl es auch darauf hingewiesen , dass Elcoteq seine Leitlinien beibehalten , Händler sagte .",0,de
"Der Hauptsitz der britischen Firma befindet sich in Rugby Road, Lutterworth.",0,de
"Der OMX Nordic 40 ( OMXN40 ) Index , der die 40 am meisten gehandelten nordischen Aktien an der Nasdaq OMX Börse umfasst , schloss am Mittwoch mit 1.138,84 Punkten 0,43 % ab .",1,de
Neben der Softwareentwicklung wird die neue Konstruktionseinheit für den Maschinenbau und die Elektronikgestaltung sorgen.,0,de
Konkretes Angebot der CRH für Vermögenswerte von Holcim Lafarge,1,de
Für das Geschäftsjahr 2006 wird ein Umsatz von rund 20 Mio EUR erwartet und das operative Ergebnis wird wie bereits angekündigt als Verlust erwartet .,0,de
"Verkäufer ist die finnische Elcoteq-Gruppe , das größte europäische Unternehmen für die Herstellung von Elektronikdienstleistungen .",0,de
Die Verkäufe an der Anlage sind im vergangenen Jahr nach dem Einbruch der Branche in den Hauptresorts im Winter 2006-07 gesunken.,0,de
"Salcomp Oyj , der finnische Hersteller von Mobiltelefon-Ladegeräten , erzielte am Montag im zweiten Quartal einen Verlust von 1 ,49 Mio EUR gegenüber einem Gewinn von 1,70 Mio EUR im Vorjahreszeitraum .",0,de
Finnish Cargotec hat einen bedeutenden Auftrag für insgesamt 292 Hiab Ladekrane von BAE Systems in den USA erhalten.,1,de
"Das Unternehmen erwartet , dass der Nettoumsatz für das gesamte Jahr 2009 unter dem Niveau von 2008 bleibt .",2,de
Die Arbeitnehmerverhandlungen sollen Maßnahmen zur Anpassung des Betriebes an die derzeitige Produktionssituation in Angriff nehmen .,0,de
"DJI überkauft: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",2,de
"Steve Jackson, eBusiness Analyst bei Satama und ehemaliger CEO von Aboavista sagte: `` Google brach die Form, wenn sie weg Google Analytics kostenlos.",0,de
"`` Wir sind mit dem Umzug zufrieden , sagt Morna Cowie , Miteigentümer , oben , `` es ist doppelt so groß wie unser aktuelles Geschäft und hat ein schönes Gefühl dafür . ''",1,de
"Über die Anlage wird das belgische Unternehmen 8,4 MW Strom in das Verteilernetz einspeisen und bis zu 14 MW Wärme liefern können.",0,de
"Das Geld wird hauptsächlich über 2011 und 2012 verteilt werden , sagte das Unternehmen .",0,de
"Bei dieser Wachstumsrate wird es äußerst schmerzhaft sein , die Staatsschulden abzuzahlen .",0,de
Die Vereinbarung stärkt unsere langfristige Partnerschaft mit Nokia Siemens Networks .,1,de
"Diese Abschnitte werden in Kraft gesetzt , um die tragende Stahlkonstruktion der Brücke zu bilden , """", sagt Sami Eronen , Senior Vice President , Infrastruktur und Nordeuropa , Ruukki Construction .",0,de
"Die Produktionskapazität kann ohne größere zusätzliche Investitionen verdreifacht werden , sagte das Unternehmen .",1,de
"SABMiller kauft Meantime, um den Durst nach Craft Beer auszulöschen",1,de
Finnische Outotec hat einen Auftrag zur Lieferung eines neuen Zinkrösters mit Gasreinigungs- und Schwefelsäureanlage für die Zinkschmelze OZK Kardzhali in Bulgarien erhalten.,1,de
Der Kunde wird dann an die Seite weitergeleitet und ihm mit der ersten Nummer nicht bekannt.,0,de
"CapMan , ein Vermögensverwalter , verfügt über Vermögenswerte im Wert von 3 Mrd EUR , die in der nordischen Region verwaltet werden .",0,de
Der Nettogewinn von L&T für das gesamte Jahr 2010 sank von 45 Mio EUR für 2009 auf 36 Mio EUR .,0,de
Vacon kündigte vor kurzem Pläne für den Bau seiner nordamerikanischen Hauptsitz in 5 Business Park in Chambersburg.,0,de
"Incap , mit Sitz in Oulu , Finnland , ist ein Elektronik-Vertragshersteller mit rund 750 Mitarbeitern in Finnland , Estland und Indien .",0,de
"Der Verlust vor Steuern belief sich auf 49,9 Mio . EUR , verglichen mit einem Verlust von 15,4 Mio . EUR im entsprechenden Zeitraum 2008 .",2,de
"Die Vaisala Gruppe ist ein erfolgreiches internationales Technologieunternehmen, das elektronische Messsysteme und Produkte entwickelt, herstellt und vermarktet.",1,de
"Das Ergebnis je Aktie EPS betrug im ersten Quartal einen Verlust von EUR0 ,20 .",0,de
"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , der weltweit größte Handy-Hersteller , nutzt die Consumer Electronics Show in Las Vegas, um ein High-End- , dünnes Falttelefon einzuführen , nach einem Medienbericht Montag .",0,de
"Produktionsanlagen 6 Juli 2010 - Die finnische Investmentgruppe Neomarkka Oyj ( HEL : NEMBV ) sagte heute , dass sie die ehemaligen Produktionsanlagen von Kuitu Finland Ltd kaufen wird , im Rahmen der Verhandlungen über die Option , in Spezialzellulosefasergeschäft zu investieren .",0,de
Valeant CEO pledges to heed critics nach 'schmerzvolle' Erfahrung,2,de
"Der Cashflow von Vacon aus Operationen stieg von 21,9 Mio . EUR vor einem Jahr auf 37,1 Mio . EUR .",1,de
"Valeant sagte, um neue CEO mit Pearson immer noch hospitalisiert",0,de
"Sieben Monate Umsatz von Ragutis , die von der finnischen Brauerei Olvi kontrolliert wird , sank um 11,2 Prozent , auf 15,41 Millionen Liter , und das Unternehmen hielt 9,89 Prozent des Marktes .",2,de
"Diese Unternehmen werden in der Lage sein , ihre Marktposition zu halten .",1,de
`` Nach diesem Kauf wird Cramo der zweitgrößte Anbieter von Mietdienstleistungen auf dem lettischen Markt werden .,1,de
"Das Betriebsergebnis lag bei 11,07 Mio EUR gegenüber 8,65 Mio EUR .",1,de
"Pentik+ñinen betont, dass die meisten der Internet-Inhalte Medienhäuser bieten kann nicht für immer kostenlos sein.",0,de
"Dopplr Mitglieder teilen persönliche und geschäftliche Reisepläne privat mit ihren Netzwerken , und markieren interessante Orte zu bleiben , essen und erkunden in Städten auf der ganzen Welt .",0,de
"Das Unternehmen schätzt nun , dass der Umsatz im Jahr 2010 gegenüber 2009 deutlich gestiegen ist und das operative Ergebnis deutlich positiv ausfällt .",1,de
Währungsumrechnungen basieren zum Zeitpunkt der Transaktion auf Wechselkursen .,0,de
$INTC endlich eine schöne Kehrseite bewegen... auf der Suche nach dem 31 Griff zu brechen,2,de
"Vorher 's Präsenz hier eröffnet auch neue und interessante Entwicklungsmöglichkeiten für unsere Studenten , '' der Dekan der Fakultät für Elektronik , Kommunikation und Automatisierung an der TKK sagte .",1,de
"@NASDboy Ich denke, die DNF-Crew kann diese $NFLX kurz in den nächsten 30 Tagen in Richtung Verdienst",2,de
"Im Bereich Gebäude- und Wohnungsverbesserung ging der Umsatz um 6,3 % zurück und belief sich auf 154,1 Mio EUR .",0,de
Für den Inhalt der Mitteilung ist der Emittent verantwortlich .,0,de
London Börse versiegelt 22 Mrd. £ Fusion mit der Deutschen Börse,1,de
"Das verwässerte Ergebnis je Aktie ( EPS ) stieg auf 0,52 EUR gegenüber 0,09 EUR .",1,de
"Der Nettogewinn des finnischen Medienunternehmens Talentum Oyj verringerte sich im ersten Quartal 2008 auf 2,5 Mio Euros ( 4,0 Mio Euros ) von 3,0 Mio Euros ( 4,7 Mio Euros ) im gleichen Zeitraum des Jahres 2007 .",0,de
Die Preise und Liefermengen von Breitbandprodukten gingen 2005 deutlich zurück .,2,de
LONDON MORNING BRIEFING: HSBC und Standard Chartered Aktien steigen,1,de
@Dojiknows th SP und das Potenzial von QNX BES10 und BBM Cross-Plattform wird gute Nachrichten in der Zeit bringen $Bry,1,de
"`` Es gibt die Frage der Diebe stehlen sie von Baustellen , """", sagte Herr Smith .",2,de
Die Regierung hat bei der Bewertung des Angebots einen sehr professionellen Ansatz verfolgt.,1,de
Travis Perkins zieht Dividende 20% als Gewinn und Umsatz steigen,1,de
"Stichting Pensioenfonds ABP : 4 118 122 Aktien auf 5,19 % des Grundkapitals und der Stimmrechte .",0,de
"Im vierten Quartal 2009 erhöhte sich der Nettogewinn von Orion gegenüber dem Vorjahr um 33,8 % auf 33 Mio EUR .",1,de
"BAWAG - ist die Ausgabe eines Benchmarks , abgedeckt Deal .",0,de
"Der Nettogewinn von Outotec im zweiten Quartal 2007 stieg von 4,6 Mio. Euro ( 6,3 Mio. $ ) vor einem Jahr auf 16,8 Mio. Euro ( 23,1 Mio. $ ) .",1,de
"Fortum geht davon aus , dass die jährlichen Investitionsausgaben in den nächsten vier bis fünf Jahren wie bereits angekündigt in einer Größenordnung von 0,8-1,2 Mrd EUR liegen werden .",0,de
"Da sich die Angaben des Verbandes nicht auf die Verkaufszahlen von rund 100 kleinen lokalen Brauereien und den Verkauf von importierten Bierprodukten beziehen , sind die tatsächlichen Marktanteile seiner Mitglieder geringer als im Bericht angegeben .",2,de
"Der Bezugspreis pro Aktie der mit den Optionsrechten gezeichneten Aktien betrug EUR 1,35 .",0,de
"Das Betriebsergebnis von Altia stieg von 6,6 Mio EUR auf 47 Mio EUR .",1,de
Nokia Siemens Networks hat in den letzten zwei Jahren um einen Gewinn gekämpft .,0,de
"Die Vuokatti-Einheit wird entwickelt, um sich insbesondere auf die Herstellung von Prototypen, den Ausbau neuer Produkte und die anspruchsvollen Test- und After-Sales-Services zu konzentrieren.",0,de
"Eine Erfindung , die vom Patentamt veröffentlicht wurde , sagte : ,,Eine nicht-kohärente Suchmatrix wird aus dieser Korrelationsfunktionsmatrix gebildet .",0,de
"Die Gruppe bekräftigte ihre Prognose , dass Mobilteilhersteller in diesem Jahr weltweit rund 915 mln Einheiten verkaufen werden .",0,de
Das Ergebnis in der Vergleichsperiode beinhaltete einen Kapitalgewinn von 8 Mio EUR aus dem Verkauf von OMX-Aktien .,0,de
$fb klein lang 109.25 über Anrufe,1,de
"Auch in Russland war der deutlichste Absatzanstieg von 18,6 % zu verzeichnen .",1,de
"Der finnische Komponentenlieferant Componenta Corporation OMX Helsinki : CTH1V sagte am Montag , dass er aufgrund der steigenden Rohstoffpreise seinen Preiszyklus ändert .",0,de
"Finanzielle , strategische und operative Faktoren werden berücksichtigt .",0,de
G4S Dias auf Bilanz Sorgen,2,de
"2010 16 Juli 2010 - Der finnische Stahlhersteller Rautaruukki Oyj HEL : RTRKS , oder Ruukki , sagte heute, dass es sich zu einem Nettogewinn von 20 Mio EUR im zweiten Quartal 2010 aus einem Nettoverlust von 94 Mio EUR im entsprechenden Zeitraum des Vorjahres .",1,de
Als Gesamteffekt der oben genannten Maßnahmen wird Glaston im vierten Quartal 2008 Einmalaufwendungen in Höhe von 12 Mio . EUR erfassen .,0,de
"Das Betriebsergebnis stieg von 1,0 Mio EUR im entsprechenden Zeitraum 2008 auf 3,2 Mio EUR .",1,de
"Das Unternehmen meldete im Jahr 2006 einen Nettoumsatz von 302 Mio. Euro $ 441,6 Mio. und eine operative Marge von 16 Mio. Euro .",0,de
Merged LSE und Deutsche BÃ¶rse werden von Deutschlands Kengeter geleitet,1,de
Das Gesamtliefervolumen der Papierunternehmen belief sich 2010 auf 1.155.000 Tonnen gegenüber 1.132 000 Tonnen im Jahr 2009 .,1,de
"Mit der Akquisition wird das Unternehmen sein Angebot nach Nord-, Mittel- und Südamerika erweitern , hieß es .",1,de
Zusammen mit Lettland wird Cramo 54 Mietniederlassungen in den baltischen Staaten betreiben .,0,de
"Der Auftragswert beträgt etwa 1,0 Mio EUR. Poyry mit Sitz in Vantaa, Finnland, bietet Beratungs- und Ingenieurleistungen für die Sektoren Energie , Forstwirtschaft und Infrastruktur sowie Umwelt an .",0,de
"`` Abonnenten können mit ihrem Handy freie Nummern durchsuchen und die Nummern, Pakete und Dienste auswählen, die sie bei der Aktivierung des Telefons bevorzugen.",0,de
"Connectivity Services umfassen ausgelagerte Scan und Capture, die Papierrechnungen in elektronisches Format überträgt und Basware Business Transactions Service ermöglicht es dem Kunden, Rechnungen in elektronischer Form zu empfangen und zu versenden.",0,de
Gleichzeitig wurde die Umsatzentwicklung in Russland durch die Eröffnung des Stockmann-Nevsky-Zentrums in St. Petersburg gesteigert.,1,de
"Der Verwaltungsrat schlägt der Hauptversammlung am 18 . März 2010 vor , die Dividende für das Geschäftsjahr 1. Januar - 31. Dezember 2009 in Höhe von 0,02 EUR je Aktie auszuschütten .",0,de
RBS-Vorsitzender gibt Überraschung bei der Größe der regulatorischen Sanktionen zu,2,de
Ramirent Finnland ist die inländische Einheit der Maschinenvermieter Ramirent Oyj HEL : RMR1V .,0,de
Wie alle anderen mechanischen Pipetatoren von Biohit ist auch Proline Plus CE-IVD gekennzeichnet und verfügt über eine 3-Jahres-Garantie.,0,de
"Heute hat Geberit's finnischer Rivale Uponor OYJ seine Prognose für das Gesamtjahr des Umsatzwachstums von 10 pct auf 6 pct gesenkt , was den schwierigen Bedingungen in Deutschland und den USA sowie den Währungsfaktoren die Schuld gab .",0,de
Die Erfindung trägt die Internationale Patentpublikation Nr. .,0,de
"Blyk startet Mitte 2007 den ersten Markt im Vereinigten Königreich , weitere Märkte sollen folgen .",0,de
Petrofac bucht weitere 30 Mio. £ Kosten für Shetland Gas-Terminal-Verzögerungen,2,de
Das schwedische Ingenieurbüro Etteplan soll bis zum Monatswechsel März-April 2008 eine Einheit in der Stadt Borl+ñnge errichten .,0,de
"Die Vereinbarung wurde mit der Biohit Healthcare Ltd , der britischen Tochtergesellschaft von Biohit Oyj , einem finnischen öffentlichen Unternehmen , das Liquid Handling Produkte und Diagnosetestsysteme entwickelt , herstellt und vermarktet .",1,de
Finnlands Poyry Energy hat einen Auftrag zur Beratung der Bauherren eines neuen KWK-Kraftwerks in der zweitgrößten Stadt Kaunas in Litauen und zur Überwachung des Bauprozesses erhalten.,1,de
"- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein!",2,de
Der Gesamtwert der Lieferungen beläuft sich auf rund 65 Mio EUR .,0,de
"Auch hatte BMO gerade $incy mit einer Überform gestern initiiert, während mehrere andere Firmen alle wiederholte Buy-Ratings.",1,de
` Der nordische Infrastrukturbau ist einer unserer strategischen Wachstumsfelder .,0,de
"Diese Aktientransaktionen sind Teil der Strategie des Unternehmens , Vermögenswerte aufzugeben , die nicht zum Kerngeschäft gehören .",0,de
"Der Nettoumsatz ging von 109 Mio. EUR im entsprechenden Zeitraum 2005 auf 91,6 Mio. EUR zurück .",0,de
"Unternehmen und Märkte.com bietet eine breite Palette von Forschungsberichten , Branchenstatistiken und wettbewerbsfähige Intelligenz auf dem Industriesektor .",0,de
"Technopolis hat finnische Operationen in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla und Tampere und bereitet auch seine Operationen auf Russland zu erweitern.",0,de
"Die EPS aus fortgeführten Operationen beliefen sich auf 0,30 eur , gegenüber 0,17 .",1,de
"Wenn es nächstes Jahr geöffnet wird , wird es die größte Anlage der Welt sein , Dieselkraftstoff aus nachwachsenden Rohstoffen wie Palmöl und tierischem Fett zu produzieren .",1,de
"Europäische Aktien bewegen sich in der Nähe von 3-Wochen-Tief, Dialog und BHP-Abschwung",2,de
